nom,comment,pays,niveau,cout
Tortilla,J'ai réalisé cette recette hier et elle fut délicieuse. Par contre avant je ne coupais pas les pommes de terre en rondelles mais en cubes.,espagne,Facile,0.8
Tortilla,Excellent! Je fais une variante avec des chips!;-) ,espagne,Facile,0.8
Tortilla,"un classique mais tellement bon, je rajoute des herbes, persil,  et avec des oignon frais c'est plus savoureux.",espagne,Facile,0.8
Tortilla,Très bon !,espagne,Facile,0.8
Tortilla,Idéel en apéro dinatoire.,espagne,Facile,0.8
Tortilla,"Je cherchais une recette après un voyage en Espagne, et je ne suis pas déçue; j'ai retrouvé les saveurs des vacances, avec une salade verte, parfait ! ",espagne,Facile,0.8
Tortilla,La préparation était un peu longue mais la tortilla était top ! ,espagne,Facile,0.8
Zarzuela catalane,"Une zarzuela un peu fantaisiste qui laisse peu de place au poisson et trop aux fruits de mer.J'en consomme souvent dans les restaurants en Espagne où je réside une partie de l'année,d'où mon commentaire.Merci pour le partage !",espagne,Intermédiaire,7.12
Baklava aux amandes et pistaches,"J'ai testé cette recette et c'est une pure merveille pour les papilles ! Les amandes et pistaches apportent une texture croquante à la pâte filo croustillante, le miel et la cannelle un parfait équilibre de saveurs. J'ai adoré l'ajout d'eau de fleur d'oranger, qui ajoute une touche d'exotisme à cette gourmandise. À refaire sans hésitation !",grece,Facile,2.82
Baklava aux amandes et pistaches,J'ai testé cette recette hier soir et c'était délicieux ! Les amandes et pistaches se marient parfaitement et la pâte filo apporte une texture croustillante. J'ai utilisé un peu moins de miel pour éviter que ce ne soit trop sucré et j'ai ajouté un peu plus de cannelle pour relever le tout. À refaire sans hésitation !,grece,Facile,2.82
Baklava aux amandes et pistaches,"Délicieuse recette, les pistaches et les amandes sont parfaitement dosées, croustillant à souhait avec la pâte filo. Le miel et la cannelle apportent une touche sucrée qui se marie parfaitement avec les fruits secs. J'ai adoré la subtilité de l'eau de fleur d'oranger dans ce dessert traditionnel. Je la referai sans hésiter !",grece,Facile,2.82
Baklava aux amandes et pistaches,"J'ai testé cette recette hier soir, c'était un vrai délice ! Les pistaches et amandes apportent une texture croquante, le miel ajoute une douceur subtile et la cannelle une note épicée. J'ai adoré l'eau de fleur d'oranger qui ajoute une petite touche de fraîcheur. À refaire sans hésitation !",grece,Facile,2.82
Baklava aux amandes et pistaches,J'ai essayé cette recette hier et j'ai été agréablement surprise par le résultat! Les saveurs de la pistache et de l'amande se marient parfaitement avec le miel et la cannelle. Le petit goût d'eau de fleur d'oranger rend ce dessert encore plus délicieux. Je recommande vivement cette recette à tous les amateurs de sucré!,grece,Facile,2.82
Baklava aux amandes et pistaches,"Recette excellente mais la durée de préparation est largement sous évaluée et il est vraiment plus pratique de prendre une plaque rectangulaire de la taille des feuilles. Dans la recette arménienne, on utilise 2 rouleaux de filo et on met 2 couches de garniture : régal assuré !",grece,Facile,2.82
Baklava aux amandes et pistaches,Parfait. Quantité de cette recette pour 40 baklavas.,grece,Facile,2.82
Calamars farcis à la grecque,"Bonjour Catherine. Merci pour votre remarque, je le signale à l'équipe de Cuisine AZ qui fera le nécessaire. 
Célia, Modératrice Cuisine AZ. ",grece,Facile,2.83
Calamars farcis à la grecque,Pourquoi une recette des calamars trouvait-elle quand on cherchais les désert?,grece,Facile,2.83
Champignons à la grecque au Thermomix,"dans l'etape 3 , il n'y a pas la vitesse .... et les citrons ,on les mets quand ?  question déjà posée , mais ps de réponse !",grece,Facile,1.54
Champignons à la grecque au Thermomix,On met quand les 2 citrons pressés ,grece,Facile,1.54
champignons à la grecque faciles,Nous sommes heureux de vous annoncer que cette recette a été améliorée pour votre plus grand bonheur! Merci pour ces commentaires constructifs qui font avancer la qualité du contenu que nous diffusons sur CuisineAZ. L’équipe a hâte de découvrir tous vos nouveaux commentaires!,grece,Facile,0.91
champignons à la grecque faciles,Ajouter un peu de feuilles de persil plat ciselés et ce plat sera aromatisé comme il faut. Jolie recette.,grece,Facile,0.91
champignons à la grecque faciles,J'ajoute quelques olives vertes dénoyautées pour rendre mes champignons à la grecque encore plus exquis!,grece,Facile,0.91
champignons à la grecque faciles,"Cette recette accompagne délicieusement les plats de viande. Avec un osso bucco par exemple, c'est vraiment appétissant!",grece,Facile,0.91
champignons à la grecque faciles,"Je recommande vivement la recette a tous ceux qui sont amateurs de champignons comme moi. Pour ma part moi, j'ai été conquise! Avec des morceaux de saumon fumé, ces petits champignons à la grecque sont vraiment délicieux!",grece,Facile,0.91
champignons à la grecque faciles,J'adore les petits plats simples et goûteux et les champignons à la grecque est l'une de mes faiblesses gustatives. J'en fais souvent pour les apéros et mes convives adorent ça.,grece,Facile,0.91
champignons à la grecque faciles,J'ai essayé la recette mais en y rajoutant du piment de cayenne comme recommandé. C'etait juste parfait et j'ai pris beaucoup de plaisir à manger mes champignons à la grecque.,grece,Facile,0.91
champignons à la grecque faciles,Je mets toujours un peu de jus de citron et de coriandre avant de servir pour apporter une touche de fraîcheur aux champignons. Un délice!,grece,Facile,0.91
champignons à la grecque faciles,"Préparer soit même ses champignons à la grecque est meilleur car les ingrédients sont plus frais et goûteux. Pour ma part, je rajoute aussi des carottes coupées en dés. Je trouve que la recette est encore plus savoureuse ainsi.",grece,Facile,0.91
champignons à la grecque faciles,Je mange trop souvent ces champignons à la grecque en conserve. Je pense qu'il est temps pour moi de les préparer à la maison. Je pense qu'ils seront bien meilleurs.,grece,Facile,0.91
champignons à la grecque faciles,Une recette vraiment facile à faire. J'adore les champignons et je l'ai servi avec des tagliatelles et une sauce bolognaise. J'ai vraiment adoré!,grece,Facile,0.91
champignons à la grecque faciles,"Bien meilleur que ceux qu'on achète, cette recette est top !",grece,Facile,0.91
champignons à la grecque faciles,"Correction:#  15 grains de coriandre
#. Bouquet garni (persil,basilic,thym,sauge,laurier)
#. Piment d'espelette",grece,Facile,0.91
Concombre à la crème fraîche et à la ciboulette,Je remplace la ciboulette par de l'aneth et servi avec un poisson blanc c'est délicieux,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Attention : mélanger de la crème avec du jus de citron fait évidement tourner la crème. Pour empêcher ça, il faut utiliser de la crème allégée industrielle. Le gras retiré est remplacé par de l'amidon, qui stabilise l'émulsion. ",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Oui mais si on veut une crème aigre (""sour cream"") c'est parfait on met un peu plus de citron ou un peu de vinaigre blanc - très utilisée dans la cuisine nordique - pays de l'est etc... souvent associée à l'aneth et aux cornichons Malossol - excellente avec salade de pommes de terre - poissons - boulettes suédoises - volailles et même kebab par exemple à tester ! ",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Pour satisfaire votre gourmandise, nous avons pris en compte vos commentaires... Cela nous a été d’une grande aide pour améliorer cette recette, alors merci à vous toutes et vous tous! L’équipe n’attend plus que votre avis pour savoir si vous vous êtes régalés!",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Je l'ai servi dans des petites verrines, garnies de quelques croutons. Pensez à une petite coupe de champagne bien frais et on oublie la chaleur.",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,On l'a dégusté avec un filet de poisson au citron. La fraicheur des concombres et l'onctuosité de la crème fraiche vont tellement bien avec la chair du poisson.,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Une copine m'a fait découvrir cette recette et je l'ai tout de suite adopté. C'est tellement frais et succulent, je ne m'en lasse pas!",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Des fois je mets aussi une petite gousse d'ail à l'ensemble. Faut juste pas y aller d'une main trop lourde, histoire de ne pas couvrir tous les autres ingrédients.",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Si vous voulez mettre un peu plus de peps à cette recette, vous pouvez rajouter un soupçon de paprika. Il se marie très bien avec le reste des ingédients.",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,Tellement frais et juteux! Cette recette sera la star de cet été!,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"Avec une pointe de cumin en poudre, ça donne une touche orientale à cette entrée qui me rappelle le raita de concombre.",grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,Accompagnement de choix pour les grillades. Le croquant des concombres vont très bien avec la chair grillée.,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,Très rafraichissant surtout par cette chaleur. Ces concombres sont très appétissantes!,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,J'ai aussi mis un peu de zeste de citron à la crême fraiche pour apporter plus de goût. C'était très agréable en bouche.,grece,Facile,0.99
Concombre à la crème fraîche et à la ciboulette,"J'adore ça! J'en fais souvent l'été! C'est frais et léger, idéal quand il fait chaud!",grece,Facile,0.99
Concombre sauce yaourt à la grecque,Une recette sûrement fameuse...,grece,Facile,0.6
Concombre sauce yaourt à la grecque,Recette idéale pour le regime.,grece,Facile,0.6
Concombre sauce yaourt à la grecque,"Pour cette recette, je mets de l'huile d'olive à la place du vinaigre d'alcool ce qui rend le plat plus doux au palais car le vinaigre d'alcool et citron ça rend le plat un peu plus aigre.",grece,Facile,0.6
Concombre sauce yaourt à la grecque,"Le yaourt ""à la grecque"" français est extrêmement liquide. Il est donc préférable d'y mettre du fromage blanc que l'on a fait égouter dans une étamine ou un torchon fin toute la nuit. Le tzaziki est plus ferme et peut donc être mangé avec une pita -ou, à défaut- un pain libanais pour l'apéritif.",grece,Facile,0.6
Concombre sauce yaourt à la grecque,On peut remplacer le vinaigre par de l'huile d'olive et ajouter de la menthe fraîche hachée : c'est délicieux et très rafraîchissant en été !,grece,Facile,0.6
Concombre sauce yaourt à la grecque,"Avec des tomates coupées en petits dés c'est un délice, le tout sur des croûtons chauds...",grece,Facile,0.6
Dolmas,A l'orientalE ! Je partagerai sur FB quand vous aurez corrigé cette faute.,grece,Facile,2.75
Dolmas,"Je préfère la recette avec moins d'agneau et j'arrose les Dolmas d'un jus de citron au moment de servir, mais je vais essayer avec le yaourt. Je suis d'accord cette recette ne vient pas d'Algérie mais du Moyen-Orient, les pays situés à l'est de la Méditerannée, Turquie, Liban,Israel,Palestine, Grèce. 
Si vous ne trouver pas de feuilles de vigne dans le commerce, allez les ramasser vous-même dans les vignes pendant l'été. 
Faites-les sécher à plat dans un endroit ventilé et les réhydratées au moment de s'en servir. 
Pensez à enlever les plus grosses nervures (comme pour les épinards), c'est plus agréable sous la dent.",grece,Facile,2.75
Dolmas,"Myriam, ce n'est pas que je contredit, mais ce ne sont pas des dolmas, mais des sarmas, car les dolmas ce sont ceux qui sont avec les aubergines + poivrons.",grece,Facile,2.75
Dolmas,"Les dolmas peuvent être faites à la grecque aussi mais on ne met pas le romarin et on peut remplacer le hachis d'agneau par du boeuf-porc ou veau-porc.Entre autre, les dolmas au yaourt en Grèce se font avec simplement du riz et on nappe au moment de les manger de yaourt à la grecque.
Bonne appétit et bonne journée",grece,Facile,2.75
Dolmas,les feuilles de vignes ne sont pas évidant à trouver selon où l'on réside... perso je ne vois pas où même en faisant quelques bornes ! En revanche vos recettes sont claires et bien présentées mon jugement est dur pour cette recette juste par rapport aux courses pour se procurer l'aliment en question !,grece,Facile,2.75
Dolmas,Ce plat est d’origine arménienne.,grece,Facile,2.75
Dolmas,"cette recette s'appelle exactement yaprah dolmasi, les dolmas sont des légumes farcis (poivron,aubergines courgettes, tomates, navets, oignons...).Les yaprak et les dolmas peuvent se faire avec du riz ou du bulgur.
Ces deux recettes sont quand même délicieuses. Bon appétit.",grece,Facile,2.75
Dolmas,"Quelle cuisine sophistiquée et à la fois facile à faire, peut etre...
Quel délice et quel naturel.",grece,Facile,2.75
Dolmas,En réponse à tous les internautes qui s'étonnent de trouver cette recette ici : nous avons bien fait des recherches et il s'agit d'une recette méditerranéenne qui a traversé les mers jusqu'aux pays du Maghreb. Nous aurions aussi pu le mettre au Maroc et en Turquie. La cuisine voyage et se mélange ! Nous éspérons en tous cas que cette recette vous plaît !La rédaction de Cuisine AZ.,grece,Facile,2.75
Dolmas,"Comment pouvez-vous mettre cette recette avec celles de recettes algériennes car elle n'est ni de près ni de loin à nous, elle appartient plutôt à la Turquie, Grèce, Syrie, Liban, Palestine et toute cette region de la Méditerranée. Il  serait peut être mieux de faire quelques recherches avant de les proposer aux lecteurs de votre site sans les induire à des erreurs de la sorte. Merci",grece,Facile,2.75
Dolmas,Les dolmas ne sont pas une recette algérienne. C'est curieux de la trouver dans ce dossier,grece,Facile,2.75
Dolmas,"Excellente recette, Mmmmm.......",grece,Facile,2.75
Flan de saumon fumé et yaourt grec,"Bonjour, faut-il les servir tièdes ou froids ?",grece,Facile,2.2
Flan de saumon fumé et yaourt grec,"Cuisine AZ est à mon avis le seul site qui ne réagit jamais aux demandes de précisions à propos des recettes, lesquelles généralement fourmillent d'erreurs et d'invraisemblance ! Par contre, si vous mettez un com trés élogieux sur la qualité du site, vous aurez des remerciements quasi-instantanément. Le hic c'est qu'ils apparaissent à ts les coups lorsqu'on utilise un moteur de recherche...Alors, pour le flan ; saumon 400g, 2 oeufs entiers, 40cl de creme, 1 CS de maizena, une pincée de sel et/ou d'aneth et environ 30mn à 180°.",grece,Facile,2.2
Flan de saumon fumé et yaourt grec,"A quoi ça sert de poser des questions si on n'obtient pas de réponse ? ça serait bien que dès le départ, la recette soit juste. Merci !",grece,Facile,2.2
Flan de saumon fumé et yaourt grec,"3 ans après les premières remarques sur le lait, les blancs d’œufs et le yaourt la recette n'a toujours pas été corrigée. Dommage car cela avait l'ait appétissant ! ",grece,Facile,2.2
Flan de saumon fumé et yaourt grec,"D'où vient le lait (quantité ?). Que deviennent les blancs d'œufs ? Le yaourt sert-il uniquement de ""sauce"" à part ? J'ai beaucoup d'hésitation ",grece,Facile,2.2
Flan de saumon fumé et yaourt grec,"d'ou sort le lait qu'on rajoute dans le mixer ,quelle quantité ?",grece,Facile,2.2
Gâteau au yaourt à la Grecque avec Glaçage,"Très bon ! J'ai suivi la recette à la lettre, j'ai juste fait 2 fois moins de glaçage car j'ai utilisé un moule plus petit. J'ai mis mon four à 180°, suivi la cuisson, et l'intérieur est fondant (et non aéré). J'aurais peut-être pu le cuire un peu +, mais personnellement je préfère quand c'est plutôt concentré qu'aéré et léger. Recette très gourmande :P",grece,Facile,0.53
Moussaka facile,"Un délice cette moussaka !  
 
 
 _ 
 <ahref=""https://des-racines-au-verre.fr/""> Amateur d’accords mets vin nature</a>",grece,Facile,3.02
Moussaka facile,"Un délice cette moussaka ! 


_ 
<a href=""https://des-racines-au-verre.fr/""> Amateur d’accords mets vin nature </a>",grece,Facile,3.02
Moussaka facile,Excellente recette,grece,Facile,3.02
Moussaka facile,"Le secret pour que les aubergines soient moins gourmandes en huile, c’est de les faire dégorger au sel pendant une heure, puis bien les rincer et les sécher avant de les frire, et ça change tout ! ",grece,Facile,3.02
Moussaka facile,"Je suis débutant en cuisine et je suit donc la recette à la lettre. Il faudra m'expliquer comment on fait frire 4 aubergines dans 4 cuillères à soupe d'huile. J'ai arrêter la recette après avoir vider la moitié de la bouteille d'huile d'olive ,juste pour la première aubergine. Il m'en reste encore 3 derrière à faire.  De plus il est écrit 20 minutes de préparation, J'ai mis presque 30 minutes pour frire la première aubergine. ",grece,Facile,3.02
Moussaka facile,"C'est vrai que ce n'est pas simple de gerer la cuisson des aubergines sans etre tenté de vidé la bouteille pour bien faire frire.  Pour eviter que le plat ne devienne rapidement une pompe a huile, ce que je fais c'est que je ne fais pas frire les aubergines, je les coupe en tranche dans la longueur et je les passe 5 minutes au micro onde ou mieux au grill dans le four si j'ai le temps ( dans ce cas la un peu plus longtemps),  le gout est merveilleux et les aubergines sont relevées et tendres. ",grece,Facile,3.02
Moussaka facile,oh lalalala!!! qu'est ce qu'elle est jolie !!!!,grece,Facile,3.02
Moussaka facile,Merci pour cette recette vraiment facile à réaliser.,grece,Facile,3.02
Moussaka facile,Excellente recette qui fait aimer les aubergines aux enfants. merci!,grece,Facile,3.02
Moussaka facile,"Pour éviter un plat trop gras, je fait tremper les tranches d'aubergines dans du lait afin de saturer le légume et limiter l’absorption huile. le reste de la recette est identique, c'est toujours aussi bon !",grece,Facile,3.02
Moussaka facile,"Merci pour la recette, on s'est régalé. Facile à faire, le plus long c'est les aubergines mais ça vaut le coup. Très bon plat. Un régal ",grece,Facile,3.02
Moussaka facile,Un délice merci!,grece,Facile,3.02
Moussaka facile,"on mange deja avec l odeur qui se diffuse  dans la maison, et apres un delice ma soeur et toute la famille adore",grece,Facile,3.02
Moussaka facile,Un grand merci pour ces commentaires sur cette recette! L’équipe de CuisineAZ a travaillé sur cette recette pour que vous puissiez vous régaler et partager cette recette en famille ou entre amis avec encore plus de plaisir! On attend vos nouveaux commentaires!,grece,Facile,3.02
Moussaka facile,"Bonjour , très bonne recette mais vous avez oublié d'introduire les pommes de terre dans la recette écrite ^^",grece,Facile,3.02
Moussaka facile,Super bon! Mes parents adorent les aubergines et en redemandent :),grece,Facile,3.02
Moussaka facile,C'est un peu long à faire mais c'est pas très compliqué et ça vaut vraiment le coup !,grece,Facile,3.02
Moussaka facile,Je pensais que ce plat était très compliqué à faire mais au final ça n'a pas été si difficile. Il faut juste suivre les étapes et se régaler par la suite :),grece,Facile,3.02
Moussaka facile,"Succulent ce plat, je l'ai fait pour une réunion de famille et mes invités n'en finissaient pas de me faire des compliments.",grece,Facile,3.02
Moussaka facile,Merci de l'avoir partagée avec nous. J'ai réussi à faire manger des aubergines à mes enfants! Un exploit :),grece,Facile,3.02
Moussaka facile,Une tuerie! Recette très bien expliquée. La muscade rajoute une note très douce et remplit les papilles de bonheur. Merci cuisineaz!,grece,Facile,3.02
Moussaka facile,Sans doute ma recette préférée même si la préparation est assez longue mais le résultat est toujours satisfaisant.,grece,Facile,3.02
Moussaka grecque,"Bonjour , j'éliminerais  la purée de tomate si  en boite (sucres cachés),  le bouillon cube issu de l'industrie et gorgé de sel et de rehausseur de gout , aussi les œufs il y a de la viande dans le plat il faut alléger , ajouter du poivre et pas trop saler",grece,Facile,2.1
Moussaka grecque,Jamais vu de Pdt dans ce plat en Grèce ou ailleurs! ,grece,Facile,2.1
Moussaka grecque,"J'étais en Grèce cette été,  on a manger dans une taverne et il y avait des pdt dans la moussaka",grece,Facile,2.1
Moussaka grecque,sans patate c'est mieux !,grece,Facile,2.1
Moussaka grecque et agneau,"Bravo pour cette recette, c’est la meilleure  moussaka que nous avons mangée.",grece,Facile,5.5
Salade à la grecque,"Excellent, rafraichissant, idéal pour un pique nique.",grece,Facile,0.94
Salade à la grecque,"Pour satisfaire votre gourmandise, nous avons pris en compte vos commentaires... Cela nous a été d’une grande aide pour améliorer cette recette, alors merci à vous toutes et vous tous! L’équipe n’attend plus que votre avis pour savoir si vous vous êtes régalés!",grece,Facile,0.94
Salade à la grecque,"une salade fraiche et légères, j'adore",grece,Facile,0.94
Salade à la grecque,"J'adore, frais et coloré !",grece,Facile,0.94
Salade à la grecque,"Simple, rapide et très bon !",grece,Facile,0.94
Salade à la grecque,"J'adore la salade grecque, car j'en ai mangé beaucoup en grèce. chez moi, je la fais aussi, je la revisite un peu, en ajoutant soit les 3 sortes de poivrons, rouge, vert et orange ou jaune,(mes préférés sont le rouge et le jaune) et en mettant olives noires et vertes et pour sur le concombre en dés et les tomates bien mûres ainsi que des rondelles d'oignon rouge ou rosé ou gros oignon selon le goût de chacun. J'ajoute tjr quelques feuilles de salade (soit cœur de laitue, ou frisée) pour faire un lit au fond de l'assiette. Je mets du citron et de l'huile d'olive bien sur. et de la menthe ! Et bien sur toujours de la féta que je dépose au dessus en barres pour que chacun ou chacune la façonne à son goût, soit en l'émiettant dans sa salade, soit en la dégustant seule sur un morceau de pain frais avec la salade en accompagnement. C'est trop bon. on ne se lasse pas de la salade grecque, c'est notre rayon de soleil toute l'année ! Bonne dégustation à vous tous.",grece,Facile,0.94
Salade à la grecque,"Franchement elle déchire cette salade!!!!! Je ne mets pas 5/5 mais 10/5!!! C'est la meilleure salade que j'ai jamais mangé!!! Je vais la garder précieusement dans mon book cuisine, n'hesitez pas c'est une tuerie garantie",grece,Facile,0.94
Salade à la grecque,Même mon copain qui n'est pas fan de salade a adoré,grece,Facile,0.94
Salade à la grecque,"très bon, très frais, j'ai mis de la menthe ciselée et du vinaigre de xérès. Le tout se marie très bien.",grece,Facile,0.94
Salade à la grecque,On peut mettre du cumin ou ajouter un peu de mayonnaise citronné.,grece,Facile,0.94
Salade à la grecque,"souvenir de salade grecque en Crête la Feta ,Concombre, tomate , oignon rose , jus de citron (pas de vinaigre) olives de Crête on en trouve dans le commerce,poivron jaune,huile d'olive de SITIA on en trouve aussi, et du cumin en poudre ,DELICIEUX accompagné de Retsina blanc HUM!!!!!!!!!!!",grece,Facile,0.94
Salade à la grecque,salade greque 'CHORIOTIKO' SE COMPOSE DE ONION ROUGE TOMATES CONCOMBRE POIVRON VERT CUBES DE FROMAGE FETA SEL POIVRE HUILE D'OLIVE ET CITRON  ...VOILA ET C'EST DELICIEUX P.S EVENTUELLEMENT QUELQUES OLIVES NOIRES,grece,Facile,0.94
Salade à la grecque,Pour ceux qui aiment le gout acide on peut remplacer le vinaigre balsamique avec du jus de citron.,grece,Facile,0.94
Salade à la grecque,il manque les poivrons et le concombre pour etre une salade a la grecque !!!!,grece,Facile,0.94
Salade à la grecque,"s'il n'y a pas de poivrons verts et de concombre alors bien sur, ce n'est pas une salade grecque..perso je n'ajoute pas de vinaigre ça dénature le gout des légumes mais j'arrose copieusement d'une très bonne huile d'olve...(j'ai vécu 10 ans en grèce)et pas de salade verte non plus..",grece,Facile,0.94
Salade à la grecque,"pour celui qui n'aime pas le gout des poivrons ou qui est allergique aux poivrons, il n'en met pas c'est logique et c'est mon cas.sinon oui le concombre est bon à rajouter à cette salade.",grece,Facile,0.94
Salade à la grecque,"Personellement, j'ajoute des cubes de pastèque et un peu de concombre",grece,Facile,0.94
Salade à la grecque,sympa la pastèque!! fallait y penser et vais je oser!!merci,grece,Facile,0.94
Salade à la grecque,"Craquante cette recette!Merci nos invités ont adoré autant que nous. 
Salut à toutes les personnes qui lisent ces lignes. Nous avons une même affinité: la cuisine. 

J'ai remplacé le vinaigre par du vinaigre de vin qui est moins sucré et bien meilleur à mon goût.

BEL ÉTÉ LE MONDE,

RENÉE
",grece,Facile,0.94
Salade à la grecque,"merci, facile comme recette  je lai essayee . merci encore",grece,Facile,0.94
Salade à la grecque,on ajoute aussi une branche du coeur du celeri coupé  concombre et un poivron essayez c'est miam miam!!!,grece,Facile,0.94
Salade à la grecque,"C'était excellent, merci !",grece,Facile,0.94
Salade à la grecque,Miam !!!,grece,Facile,0.94
Salade d'ebly à la grecque,"J'ai fait cette salade pour 6 personnes en mettant 200g d'Ebly, 3 tomates, 3 courgettes (1 verte et 1 jaune) et 400g de fêta. Pour la sauce j'ai utilisé 1 citron entier, 4 cas d'huile d'olive et 1 cas de moutarde ancienne. Comme c'était pour un déjeuner, j'y ai rajouter des Cervelas en lamelles (préalablement cuit au BBQ).
C'était délicieux et suffisamment nourrissant. Même les enfants ont apprécié! Ça change des salades de pâtes ou de riz ;-)",grece,Facile,1.93
Salade grecque légère ,bonne idée mais à revoir la quantité d'oignon (et pourtant je n'ai mis que le rouge !!),grece,Facile,1.79
Salade grecque légère ,super,grece,Facile,1.79
Salade grecque légère ,excellente salade!!!! j'en mangerai tous les jours,grece,Facile,1.79
Salade grecque légère ,"Super bon, j'ai adorée je n'est manger que ça à mon repars du midi en faisant quelque changement j'avais pas de feta alors j'ai mis du chèvre + j'ai fait sautée les oignons à la poêle accompagnée d'une banane pour mon régime c'est super bon! Les 5 fruits et légumes ils y seront!! ",grece,Facile,1.79
Salade grecque simple,Un grand merci pour ces commentaires sur cette recette! L’équipe de CuisineAZ a travaillé sur cette recette pour que vous puissiez vous régaler et partager cette recette en famille ou entre amis avec encore plus de plaisir! On attend vos nouveaux commentaires!,grece,Facile,1.6
Salade grecque simple,"une assiette gorgée de soleil, tous ce que j'aimeee",grece,Facile,1.6
Salade grecque simple,Un délice rapide et simple à réaliser !,grece,Facile,1.6
Salade grecque simple,J'adore !,grece,Facile,1.6
Salade grecque simple,"Excellent, très frais.Je n'ai pas mis de menthe, celle-ci emporte le goût.
A  refaire",grece,Facile,1.6
Salade grecque simple,est-ce qu'on peut changer par autre chose le fêta sur la salade grecque?,grece,Facile,1.6
Salade grecque simple,"en grece,il mange la salade seulement  avec une bonne huile olive et de l' origan.",grece,Facile,1.6
Salade grecque simple,faute de vinaigre de xérès j'ai mis du vinaigre balsamique.,grece,Facile,1.6
Salade grecque simple,"Il vaut mieux se passer de la menthe et des herbes de provence, suffisamment gouteux comme ça !",grece,Facile,1.6
Salade grecque simple,"Avec cette chaleur, une bonne salade composée - grecque qui plus est, souvenir d'un lointain séjour en Grèce !! Délicieuse et bien équilibrée tout ce qu'il faut avec ce temps !!J'ADOOORE !!",grece,Facile,1.6
Salade grecque simple,"belle couleur, salade estivale. Parfait",grece,Facile,1.6
Salade grecque simple,Excellente ! et souvenir d'un voyage en Crête très agréable...,grece,Facile,1.6
Salade grecque simple,"Excellente, pleine d fraicheur a dèguster avec un petit vin de vacances
Merci fanfan pour la recette de l'été",grece,Facile,1.6
Spanakopita (feuilletés aux épinards et à la feta),Comment épluche-t-on les épinards ? !!!!!!!,grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Les épinards surgelés c'est pratique, mais la pita est meilleure avec des épinards frais. Surtout éviter les épinards en boite, c'est plus sûr ! ",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Bonjour a tous. Personnellement, je n'ajoute pas d'aneth a la pita, mais bon, chacun ses goûts.Mon ami est grec et je tiens cette recette de sa mère. Il faudrait ajouter qu'il faut badigeonner le plat avec l'huile d'olive, petit oubli dans la recette. Mais autrement, rien a redire, elle est parfaite. Et effectivement, la pita est cuite après 20 minutes, 30 maximum, surtout avec un four électrique. Cuisson a surveiller ! Ce plat est délicieux. Bon appétit.",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),je ne l ai laissé que 2O min au four et c était déjà bien doré!!,grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Cette recette de spanakopitta (2 t) ressemble à une recette du livre ""Gourmande et Méditérranéenne"" de Sophie BRISSAUD, chez Hachette qui est rempli de recettes locales. Je vous le recommande chaudement !",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),Pour ceux qui ne savent pas cette recette est grecque.,grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Ttrès bonne recette, les saveurs se mélangent harmonieusement. A essayer avec un autre fromage et un autre légume, en couche plus fine, en guise d'amuse-bouches.",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Tout simplement délicieux...Un mariage de saveurs succulent !
Peut être réalisé en paniers individuels (en entrée par exemple, avec une petite salade).
",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),"Excellent, facile à faire, même les américains ont aimé surprenant, non ?",grece,Facile,1.87
Spanakopita (feuilletés aux épinards et à la feta),Cette recette excellente et qui fait manger des légumes aux enfants est très facile à réaliser avec des épinards congelés !Bon appétit.,grece,Facile,1.87
Tarama,PARFAIT ! MERCI ,grece,Facile,0.92
Tarama,génial,grece,Facile,0.92
Tzatziki facile,Un vrai regal!! J'ai mis de la ciboulette à la place de l'aneth très frais et se marie super bien avec le saumon fumé ! Merci,grece,Facile,0.98
Tzatziki facile,"Pour satisfaire votre gourmandise, nous avons pris en compte vos commentaires... Cela nous a été d’une grande aide pour améliorer cette recette, alors merci à vous toutes et vous tous! L’équipe n’attend plus que votre avis pour savoir si vous vous êtes régalés!",grece,Facile,0.98
